[SYS] 2025/03/31 - 11:46:12 | New API v0.0.0 started 
[SYS] 2025/03/31 - 11:46:12 | using MySQL as database 
[SYS] 2025/03/31 - 11:46:12 | database migration started 
[SYS] 2025/03/31 - 11:46:12 | database migrated 
[SYS] 2025/03/31 - 11:46:12 | using MySQL as database 
[SYS] 2025/03/31 - 11:46:12 | database migration started 
[SYS] 2025/03/31 - 11:46:12 | Redis is enabled 
[SYS] 2025/03/31 - 11:46:12 | memory cache enabled 
[SYS] 2025/03/31 - 11:46:12 | sync frequency: 60 seconds 
[SYS] 2025/03/31 - 11:46:12 | channels synced from database 
[SYS] 2025/03/31 - 11:46:12 | batch update enabled with interval 5s 
[SYS] 2025/03/31 - 11:46:12 | 正在更新数据看板数据... 
[SYS] 2025/03/31 - 11:46:12 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/03/31 - 11:46:12 | pprof enabled 
[SYS] 2025/03/31 - 11:46:12 | initializing token encoders 
[SYS] 2025/03/31 - 11:46:13 | token encoders initialized 
[SYS] 2025/03/31 - 11:46:13 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/03/31 - 11:46:17 | batch update started 
[SYS] 2025/03/31 - 11:46:17 | batch update finished 
[GIN] 2025/03/31 - 11:46:19 | 20250331114619292682758TRr7q9Yo | 200 |    8.625363ms |             ::1 |     GET /login
[GIN] 2025/03/31 - 11:46:21 | 202503311146216629613703xMMkHbH | 200 |    1.935538ms |             ::1 |     GET /api/status
[SYS] 2025/03/31 - 11:46:22 | batch update started 
[SYS] 2025/03/31 - 11:46:22 | batch update finished 
[SYS] 2025/03/31 - 11:46:27 | 任务进度轮询开始 
[SYS] 2025/03/31 - 11:46:27 | batch update started 
[SYS] 2025/03/31 - 11:46:27 | batch update finished 
[SYS] 2025/03/31 - 11:46:27 | 任务进度轮询完成 
[SYS] 2025/03/31 - 11:46:32 | batch update started 
[SYS] 2025/03/31 - 11:46:32 | batch update finished 
[SYS] 2025/03/31 - 11:46:37 | batch update started 
[SYS] 2025/03/31 - 11:46:37 | batch update finished 
[GIN] 2025/03/31 - 11:46:41 | 20250331114641900695139j7nIt9hZ | 307 |     139.223µs |             ::1 |     GET /auth/google/login
[SYS] 2025/03/31 - 11:46:42 | batch update started 
[SYS] 2025/03/31 - 11:46:42 | batch update finished 
[SYS] 2025/03/31 - 11:46:42 | 任务进度轮询开始 
[SYS] 2025/03/31 - 11:46:42 | 任务进度轮询完成 
[GIN] 2025/03/31 - 11:46:43 | 20250331114642482738425W0zArtVm | 303 |  1.309537794s |             ::1 |     GET /auth/google/callback?state=random_state&code=4%2F0AQSTgQGXTaMD8mFSqNCO5q8Bow9P8OQO6Q0FRjPQkA1SdMYBmGWaGwBGqHbDhYFfs5EDjQ&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid&authuser=0&prompt=none
[GIN] 2025/03/31 - 11:46:44 | 20250331114643799046858a0ETFZfY | 200 |  207.946049ms |             ::1 |     GET /?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Imtpbmdzb2JlY0BnbWFpbC5jb20iLCJleHAiOjE3NDM1MDQ0MDN9.QX1rw3xLOnQwcTP9cljz5Umf4xkcud4Sz29oXkYGBqM
[GIN] 2025/03/31 - 11:46:46 | 20250331114646641117344G4u5czCV | 200 |    1.401011ms |             ::1 |     GET /assets/index-CFU1S5Gg.js
[GIN] 2025/03/31 - 11:46:46 | 20250331114646676349804SQRJT2ef | 200 |    13.53078ms |             ::1 |     GET /api/status
